id,name,price,original_price,discount,rating_average,review_count,brand,category
75330721,"Then Chốt Cài Cửa, Chốt Khóa Bằng Thép Không Gỉ KUNBE An Toàn Tiện Lợi Nhiều Kích Thước",22900,22900,0,4.6,78,KUNBE,
70820849,Pin CR2032 Energizer 3V vỉ 5 viên,75000,75000,0,5.0,261,Energizer,
57867023,Cây Lau Nhà Xoay 360 Độ Sunhouse Ks-Mo350I,127000,200000,73000,4.6,674,Sunhouse,
56383693,Combo 300 túi lọc rác bồn rửa bát,82000,95000,13000,5.0,15,OEM,
54133235,Pin Sạc AA 2000mAh NH15 Power Plus RP2 Energizer NH15 RP2 (Mẫu mới),179000,179000,0,5.0,50,Energizer,
51373821,Đèn bàn học led cảm ứng chính hãng Rạng Đông Model: RD RL 36 LED,225000,225000,0,5.0,37,Rạng Đông,
31672125,GIẤY THƠM BOUNCE  (160 Tờ x 1 hộp ),205000,205000,0,4.7,131,Bounce,
14639229,Nắp Kính Cường Lực Nồi Và Chảo Fivestar,100000,100000,0,4.6,149,Fivestar,
14526627,Quánh Inox 430 Bếp Từ 3 Đáy Fivestar Nắp Kính - Tặng 5 Muỗng Ăn Inox - Bạc,350000,350000,0,4.6,24,Fivestar,
277740569,Bộ thìa 6 chiếc Elmich EL0004 - Hàng chính hãng,319000,319000,0,5.0,1,Elmich,
277410995,"Đệm ngồi đa năng, lót ghế nệm gối NIN House ngồi bệt kiểu dáng Nhật, tựa lưng văn phòng, chống trĩ giảm đau lưng cao cấp",179000,229000,50000,4.0,1,Nin House,
277378901,Lót ly gỗ khắc logo Durex,100000,100000,0,0.0,0,Durex,
276328451,"Màn dây có cửa Funu, vải mềm mịn, mắt lưới nhỏ, định hình ổn định giúp thông thoáng, chống muỗi an toàn, bảo vệ giấc ngủ - Hàng chính hãng",160000,200000,40000,4.3,19,FuNu,
276296831,COMBO 4 Miếng Lót Chân Bàn Ghế Silicone Bọc Chân Bàn Ghế Vuông & Tròn Tiện Lợi,13000,25000,12000,5.0,3,LKB,
276025118,Chảo inox nguyên khối Elmich Trimax EL 3846SI size 20 cm,348000,650000,302000,5.0,7,Elmich,
276018795,Hộp đựng thực phẩm bằng thép không gỉ LocknLock Color Coated STS Container nhiều dung tích,156000,211000,55000,5.0,14,LocknLock,
275493793,Màng PE Bọc Nội Thất Chống Bụi Chống Nước Khi Thi Công,28500,30000,1500,4.8,13,NAVIVU,
275367488,Bình giữ nhiệt inox 304 Elmich EL8295 dung tích 500ml,206000,390000,184000,4.7,22,Elmich,
275224128,Combo 200 Túi Lọc Rác Bọc Bồn Rửa Chén Tiện Lợi,55000,55000,0,4.8,4,PEAFLO,
274944917,"Thanh treo rèm cửa, treo quần áo bằng inox, không cần khoan tường hay bắt vít, cực kỳ tiện dụng - hàng chính hãng",90000,90000,0,4.8,4,Nhà của Mẹ,
274848186,"Vỏ Áo Bọc Nệm Thun Lạnh Khóa Kéo 2 Đầu, Áo Nệm Topper, Gấp 3 Cariva Đủ Kích Thước",160000,160000,0,0.0,0,Cariva,
274435840,Công tắc điều khiển từ xa HT-6220KG 40A 1000m và 3000m,135000,135000,0,4.8,16,HUNONIC,
274067035,Ổ cắm điện Philips CHP2452WB- 3m,264000,299000,35000,5.0,15,Philips,
273671453,"Bàn chải vệ sinh góc chết (khe nhà tắm, nhà bếp, khe cửa...) Hàng chính hãng",40000,40000,0,5.0,1,Nhà của Mẹ,
272913561,"Gel thông tắc sinh học AIKOMI vệ sinh cống, làm sạch đường ống, chậu rửa bát, nhà vệ sinh",75000,75000,0,4.8,31,Ximo,
